file_path,label,audio_length
'/Users/local/Desktop/audio_classification/animal_sounds/cat/f2a90886_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/b9cccd01_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/d9e9f554_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/57b38f48_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/3b8406c0_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/1ffd513b_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/a4e8a997_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/ee4a907f_nohash_2.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/9e6bb505_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/89f3ab7d_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/99081f4d_nohash_1.wav',0,12632
'/Users/local/Desktop/audio_classification/animal_sounds/dog/3dfd6c23_nohash_1.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/7c75a504_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/5d0ab165_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/adc216c5_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/73f0c1f7_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/cae62f38_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/38c30a4a_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/a2b16113_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/6f1ffef6_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/997867e7_nohash_1.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/1d919a90_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/6e2ef3d5_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/4c7c95de_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/72aa7259_nohash_2.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/d0faf7e4_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/638548d5_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/300384f0_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/6727b579_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/9beccfc8_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/813b82a6_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/a84dee7b_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/d571f9d7_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/5744b6a7_nohash_1.wav',2,15702
'/Users/local/Desktop/audio_classification/animal_sounds/bird/83957201_nohash_0.wav',2,15702
'/Users/local/Desktop/audio_classification/animal_sounds/dog/3bc21161_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/7e6bd776_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/782c1305_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/dd086776_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/a8688b67_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/c71e3acc_nohash_0.wav',2,11606
'/Users/local/Desktop/audio_classification/animal_sounds/bird/4c841771_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/105e72bb_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/7318280c_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/d107dc42_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/7192fddc_nohash_0.wav',0,15702
'/Users/local/Desktop/audio_classification/animal_sounds/cat/d7529c0c_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/de41f895_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/daf230ac_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/cc3d1613_nohash_1.wav',1,12971
'/Users/local/Desktop/audio_classification/animal_sounds/dog/f3d06008_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/1678e6f1_nohash_0.wav',2,10923
'/Users/local/Desktop/audio_classification/animal_sounds/cat/f00180d0_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/2c6d3924_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/78102205_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/39dce8cc_nohash_0.wav',2,13375
'/Users/local/Desktop/audio_classification/animal_sounds/cat/8a56f36e_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/b59fe16d_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/ab5ae445_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/cc6bae0d_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/2039b9c1_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/86478fab_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/bca56796_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/fb24c826_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/53d5b86f_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/dea820ce_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/823353e5_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/6205088b_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/ff63ab0b_nohash_2.wav',2,13654
'/Users/local/Desktop/audio_classification/animal_sounds/bird/38c30a4a_nohash_1.wav',2,10240
'/Users/local/Desktop/audio_classification/animal_sounds/dog/fe291fa9_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/3a182c98_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/2039b9c1_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/e14d3db8_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/dc7ec25b_nohash_0.wav',1,14861
'/Users/local/Desktop/audio_classification/animal_sounds/bird/c885a039_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/05d18852_nohash_1.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/708b8d51_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/1338a799_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/93f30cc4_nohash_1.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/d5c41d6a_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/b7669804_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/ffbb695d_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/be7a5b2d_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/b087aa0e_nohash_2.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/d7a58714_nohash_3.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/42c6fff1_nohash_1.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/65d14087_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/6727b579_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/7ff4fc72_nohash_1.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/772db621_nohash_0.wav',0,14118
'/Users/local/Desktop/audio_classification/animal_sounds/dog/72be9202_nohash_3.wav',0,14118
'/Users/local/Desktop/audio_classification/animal_sounds/cat/7318280c_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/1338a799_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/eee9b9e2_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/e55a2b20_nohash_0.wav',1,13375
'/Users/local/Desktop/audio_classification/animal_sounds/bird/b9f46737_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/da2c5f1b_nohash_2.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/7e7f0ed6_nohash_2.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/5be23def_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/76e53db9_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/d4d898d7_nohash_0.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/dog/85b877b5_nohash_0.wav',0,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/742d6431_nohash_0.wav',2,16000
'/Users/local/Desktop/audio_classification/animal_sounds/cat/45adf84a_nohash_1.wav',1,16000
'/Users/local/Desktop/audio_classification/animal_sounds/bird/71e6ab20_nohash_0.wav',2,16000
