,file_path,label
0,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/1365dd89_nohash_1.wav',0
1,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/5588c7e6_nohash_0.wav',2
2,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/ae927455_nohash_0.wav',0
3,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/e2362167_nohash_1.wav',0
4,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/dec73123_nohash_0.wav',2
5,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/e805a617_nohash_2.wav',2
6,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/a7545b9f_nohash_0.wav',1
7,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/37b03ab1_nohash_1.wav',2
8,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/7add4c5f_nohash_1.wav',0
9,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/437455be_nohash_0.wav',2
10,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/4845bb10_nohash_0.wav',2
11,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/bf4af1af_nohash_1.wav',0
12,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/69f609ec_nohash_0.wav',1
13,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/b31ad508_nohash_0.wav',0
14,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/da5dadb9_nohash_0.wav',1
15,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/97101ef3_nohash_0.wav',0
16,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/27c30960_nohash_1.wav',0
17,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/4249c833_nohash_0.wav',1
18,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/becd5a53_nohash_0.wav',2
19,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/3d6bee47_nohash_0.wav',0
20,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/71aa5b54_nohash_0.wav',0
21,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/e91d173e_nohash_0.wav',1
22,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/2589f361_nohash_2.wav',2
23,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/686d030b_nohash_0.wav',2
24,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/31e686d2_nohash_3.wav',0
25,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/8494fba8_nohash_0.wav',0
26,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/56cd307a_nohash_0.wav',2
27,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/19e98e89_nohash_0.wav',0
28,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/9a69672b_nohash_0.wav',1
29,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/042ea76c_nohash_0.wav',2
30,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/418e7158_nohash_1.wav',0
31,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/cd68e997_nohash_0.wav',2
32,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/5a9f7324_nohash_0.wav',1
33,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/fce96bac_nohash_0.wav',0
34,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/ab5d7179_nohash_0.wav',0
35,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/179a61b7_nohash_0.wav',0
36,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/a759efbc_nohash_0.wav',1
37,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/130d9a87_nohash_0.wav',0
38,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/b1df80c0_nohash_2.wav',1
39,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/24c9f572_nohash_0.wav',2
40,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/b87bdb22_nohash_0.wav',0
41,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/569455ff_nohash_1.wav',2
42,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/be7a5b2d_nohash_0.wav',1
43,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/eb609143_nohash_1.wav',1
44,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/f47d644e_nohash_0.wav',0
45,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/31e686d2_nohash_0.wav',1
46,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/ab5b211a_nohash_0.wav',1
47,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/2da58b32_nohash_0.wav',0
48,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/6f5eea74_nohash_1.wav',2
49,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/51f4d5b0_nohash_0.wav',1
50,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/573cdb8a_nohash_0.wav',0
51,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/7799c9cd_nohash_0.wav',0
52,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/64f83f0e_nohash_0.wav',0
53,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/cc2f1a85_nohash_1.wav',0
54,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/ce9410da_nohash_0.wav',2
55,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/28612180_nohash_0.wav',0
56,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/caf9fceb_nohash_1.wav',1
57,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/3983ba0d_nohash_1.wav',0
58,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/e9901cf0_nohash_0.wav',2
59,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/a42a88ff_nohash_1.wav',0
60,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/afb9e62e_nohash_0.wav',2
61,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/b665723d_nohash_1.wav',0
62,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/39543cfd_nohash_0.wav',0
63,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/f2b8fc18_nohash_1.wav',1
64,'/Users/local/Desktop/audio_classification-main/animal_sounds/cat/f63a6479_nohash_0.wav',1
65,'/Users/local/Desktop/audio_classification-main/animal_sounds/bird/d8ed3745_nohash_0.wav',2
66,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/fbdc07bb_nohash_0.wav',0
67,'/Users/local/Desktop/audio_classification-main/animal_sounds/dog/cc6bae0d_nohash_0.wav',0
