file_path,label
'/Users/local/Desktop/audio_classification/animal_sounds/bird/aa62fdad_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/f5e5e8b0_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/1cc80e39_nohash_2.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/3d3ddaf8_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/c79159aa_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/2313e093_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/4abefdf5_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/533c6564_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/324210dd_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/708a9569_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/1b835b87_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/5ac04a92_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/34805883_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/434a267c_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/51f4d5b0_nohash_2.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/83c9e7e6_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/f875f965_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/efbc3952_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/80b8eab4_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/ceaadb24_nohash_2.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/a6d586b7_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/409c962a_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/b433332a_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/6d0ad764_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/b06c19b0_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/6166ae21_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/dbb40d24_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/8b775397_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/53fd1780_nohash_2.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/7ff085e1_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/ac7840d8_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/de6eb27c_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/9ff2d2f4_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/b15fc37d_nohash_1.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/918a2473_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/cee22275_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/88f3719f_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/e4b02540_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/997867e7_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/bfbd0e6b_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/71f6fed7_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/b84f83d2_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/8fce59ff_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/1851e33b_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/78622c2b_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/66cff190_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/95218ce8_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/095847e4_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/6c0f6493_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/bf70feda_nohash_1.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/826268f8_nohash_4.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/f19d1738_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/10ace7eb_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/f2b8fc18_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/a60a09cf_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/d7529c0c_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/afe0b87d_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/8f811bbc_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/a243fcc2_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/f8f60f59_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/55d3725a_nohash_1.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/1678e6f1_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/a1c63f25_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/ad340ed7_nohash_1.wav',2
