file_path,label
'/Users/local/Desktop/audio_classification/animal_sounds/dog/f216055e_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/74551073_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/590750e8_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/82305c3a_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/e57abea3_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/3bc21161_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/b0bad4a9_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/d103dd6e_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/b21f0fa4_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/e9901cf0_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/6cc28ce5_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/36050ef3_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/dd086776_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/c93d5e22_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/f104f742_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/5628d7b7_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/ce9410da_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/b46e8153_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/ecbd8d66_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/3ab9ba07_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/86fa2dcd_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/902258bb_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/3efa7ec4_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/a9b574b3_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/9712cce0_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/238c112c_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/d3a18257_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/30065f33_nohash_1.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/4cb874bb_nohash_2.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/d7ca14ef_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/953fe1ad_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/7117fb6d_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/333784b7_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/c37a72d3_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/31267b59_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/82c6d220_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/58df33b5_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/d2eae23d_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/bird/0b40aa8e_nohash_1.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/bird/437455be_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/cat/129c7d8d_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/7c9b43f0_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/d874a786_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/dog/c38720cb_nohash_1.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/518588b6_nohash_1.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/cat/a8cb6dda_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/353b4d33_nohash_1.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/f810e799_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/28ed6bc9_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/f5c3de1b_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/dea820ce_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/dog/c86d4fd4_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/f4386675_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/2b715941_nohash_0.wav',2
'/Users/local/Desktop/audio_classification/animal_sounds/dog/e07dd7d4_nohash_0.wav',0
'/Users/local/Desktop/audio_classification/animal_sounds/cat/d7529c0c_nohash_0.wav',1
'/Users/local/Desktop/audio_classification/animal_sounds/bird/7add4c5f_nohash_0.wav',2
